# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "1" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "SRR10379726_trimmed.sorted.bam" "SRR10379725_trimmed.sorted.bam" "SRR10379723_trimmed.sorted.bam" "SRR10379722_trimmed.sorted.bam" "SRR10379724_trimmed.sorted.bam" "SRR10379721_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_trimmed.sorted.bam	SRR10379725_trimmed.sorted.bam	SRR10379723_trimmed.sorted.bam	SRR10379722_trimmed.sorted.bam	SRR10379724_trimmed.sorted.bam	SRR10379721_trimmed.sorted.bam
SAOUHSC_00023	NC_007795.1	28799	29587	+	789	2075	8106	7245	7779	6814	9425
SAOUHSC_00024	NC_007795.1	29977	30777	+	801	364	1035	1562	1432	1280	2402
SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	657	1377	1207	1134	1001	1631
SAOUHSC_00026	NC_007795.1	33555	34034	-	480	16	49	342	229	62	375
SAOUHSC_00027	NC_007795.1	33691	34170	+	480	676	2107	865	1126	1244	1258
SAOUHSC_00028	NC_007795.1	34375	34509	-	135	3	0	3	3	2	2
SAOUHSC_00029	NC_007795.1	34473	34565	+	93	13	104	16	7	53	5
SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	293	3893	964	941	2319	1275
SAOUHSC_00031	NC_007795.1	36551	37003	-	453	302	2009	29623	17955	1784	28344
SAOUHSC_00032	NC_007795.1	37019	37120	-	102	18	35	124	27	18	49
SAOUHSC_00033	NC_007795.1	37218	37973	-	756	138	1039	15984	9309	1358	14002
SAOUHSC_00034	NC_007795.1	37973	38233	-	261	15	292	3216	2714	306	3596
SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	36	383	25352	16319	941	24557
SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	272	1098	48261	32562	2023	46589
SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	3301	8128	42499	29415	8509	45065
SAOUHSC_00038	NC_007795.1	42281	42382	-	102	14	132	124	171	174	223
SAOUHSC_00039	NC_007795.1	42681	43613	-	933	1984	4100	1818	2450	3148	2811
SAOUHSC_00040	NC_007795.1	43976	44179	+	204	6	39	16	14	20	18
SAOUHSC_00041	NC_007795.1	44228	44524	+	297	57	561	493	510	407	639
SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	42	497	247	213	384	340
SAOUHSC_00043	NC_007795.1	45809	46360	-	552	24	130	95	91	97	168
SAOUHSC_00044	NC_007795.1	46473	47333	+	861	58	907	1512	1289	728	1847
SAOUHSC_00045	NC_007795.1	47689	48222	-	534	61	437	112	61	234	90
SAOUHSC_00046	NC_007795.1	48313	49056	+	744	27	679	336	303	457	391
SAOUHSC_00047	NC_007795.1	49490	50092	+	603	42	882	383	321	438	554
SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	328	3193	1883	1662	2351	2477
SAOUHSC_00050	NC_007795.1	53568	54050	+	483	111	1292	1188	896	926	1459
SAOUHSC_00051	NC_007795.1	54255	55241	+	987	194	661	193	170	454	362
SAOUHSC_00052	NC_007795.1	55462	56232	+	771	17	143	119	90	85	169
SAOUHSC_00053	NC_007795.1	56284	57054	+	771	28	362	217	165	189	234
SAOUHSC_00054	NC_007795.1	57118	57888	+	771	42	409	296	283	252	371
SAOUHSC_00055	NC_007795.1	57955	58722	+	768	39	446	409	348	308	535
SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	463	5006	1841	2166	3358	2728
SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	279	910	366	493	755	537
SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	400	1877	597	660	1184	930
SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	757	1761	1813	1373	2097	1739
SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	716	2397	1188	1221	1657	1796
SAOUHSC_00062	NC_007795.1	68201	69073	-	873	3	20	47	26	18	77
SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	26	237	98	84	214	134
SAOUHSC_00065	NC_007795.1	70773	71246	+	474	306	1991	256	280	1663	345
SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	2159	7506	3723	3790	6029	5244
SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	876	5056	1483	2247	8913	2128
SAOUHSC_00070	NC_007795.1	75400	76152	-	753	50	1052	304	260	951	358
SAOUHSC_00071	NC_007795.1	76521	77435	-	915	1664	13447	2427	4380	11088	4147
SAOUHSC_00072	NC_007795.1	77516	78511	-	996	130	382	307	384	253	547
SAOUHSC_00074	NC_007795.1	78527	79519	-	993	48	848	444	474	673	770
SAOUHSC_00075	NC_007795.1	79885	80730	+	846	17	51	124	162	67	281
SAOUHSC_00076	NC_007795.1	80727	81737	+	1011	77	151	191	236	166	405
SAOUHSC_00077	NC_007795.1	81758	83512	+	1755	92	413	418	486	394	890
SAOUHSC_00078	NC_007795.1	83505	84761	+	1257	130	217	288	299	232	594
SAOUHSC_00079	NC_007795.1	84751	86487	+	1737	79	383	393	529	371	882
SAOUHSC_00080	NC_007795.1	86396	88246	+	1851	183	603	655	726	568	1247
SAOUHSC_00081	NC_007795.1	88221	88997	+	777	167	397	357	371	303	632
SAOUHSC_00082	NC_007795.1	88997	90199	+	1203	167	761	618	640	506	1149
SAOUHSC_00083	NC_007795.1	90203	90967	+	765	201	807	768	711	541	1286
SAOUHSC_00084	NC_007795.1	91163	91570	+	408	16	240	49	55	199	71
SAOUHSC_00085	NC_007795.1	91620	92246	+	627	57	405	91	90	387	112
SAOUHSC_00086	NC_007795.1	92458	93234	+	777	10209	17970	2269	4850	9280	5113
SAOUHSC_00087	NC_007795.1	93378	93500	+	123	0	4	6	4	2	3
SAOUHSC_00088	NC_007795.1	93570	94550	+	981	3	32	63	46	45	80
SAOUHSC_00089	NC_007795.1	94513	95205	+	693	11	22	41	38	35	48
SAOUHSC_00090	NC_007795.1	95415	96581	+	1167	7	37	73	70	22	114
SAOUHSC_00091	NC_007795.1	96562	97800	+	1239	4	63	73	53	46	102
SAOUHSC_00092	NC_007795.1	97790	99220	+	1431	137	1702	826	764	1067	1106
SAOUHSC_00093	NC_007795.1	99488	100087	+	600	338	1224	2816	2423	1208	4023
SAOUHSC_00094	NC_007795.1	100455	101054	+	600	15885	58503	47328	59867	38075	70647
SAOUHSC_00096	NC_007795.1	101370	102125	-	756	249	1334	1410	1345	1240	1888
SAOUHSC_00097	NC_007795.1	102361	103068	+	708	344	2826	3689	6166	1282	6006
SAOUHSC_00099	NC_007795.1	103075	104427	+	1353	350	5411	7924	12207	3293	11013
SAOUHSC_00100	NC_007795.1	104508	105170	+	663	3728	8510	11150	14968	6076	14853
SAOUHSC_00101	NC_007795.1	105198	106376	+	1179	6258	16509	12674	21718	12680	19071
SAOUHSC_00102	NC_007795.1	106507	107322	-	816	24	78	166	169	127	310
SAOUHSC_00103	NC_007795.1	107319	108119	-	801	4	67	111	90	60	174
SAOUHSC_00104	NC_007795.1	108121	108894	-	774	8	68	128	112	56	194
SAOUHSC_00105	NC_007795.1	109108	110064	-	957	5	73	145	138	85	261
SAOUHSC_00106	NC_007795.1	110293	111837	+	1545	293	911	777	822	725	1113
SAOUHSC_00107	NC_007795.1	111888	113423	+	1536	465	2236	1453	1670	1607	2039
SAOUHSC_00108	NC_007795.1	113507	113710	+	204	0	18	11	11	3	18
SAOUHSC_00109	NC_007795.1	114083	114568	+	486	3	53	36	29	55	74
SAOUHSC_00111	NC_007795.1	114927	115214	+	288	40	31	15	11	52	17
SAOUHSC_00112	NC_007795.1	115796	116088	+	293	55	620	235	214	378	310
SAOUHSC_00113	NC_007795.1	116538	119147	+	2610	5722	21350	1340	1449	8549	2253
SAOUHSC_00114	NC_007795.1	119492	120160	+	669	1017	11177	981	1520	6040	1354
SAOUHSC_00115	NC_007795.1	120176	120862	+	687	2244	12798	1136	1952	6867	1666
SAOUHSC_00116	NC_007795.1	120865	121629	+	765	2338	15397	1424	2455	6831	2039
SAOUHSC_00117	NC_007795.1	121649	123472	+	1824	8759	23244	2629	5141	11006	4229
SAOUHSC_00118	NC_007795.1	123462	124490	+	1029	4275	13637	1587	2745	5497	2321
SAOUHSC_00119	NC_007795.1	124503	125612	+	1110	2411	14192	1610	2909	5263	2524
SAOUHSC_00120	NC_007795.1	125616	126740	+	1125	5601	14323	1698	3034	5760	2546
SAOUHSC_00121	NC_007795.1	126743	127369	+	627	1686	6786	746	1164	2601	1135
SAOUHSC_00122	NC_007795.1	127374	128483	+	1110	1358	10770	1076	1758	4085	1743
SAOUHSC_00123	NC_007795.1	128497	129663	+	1167	2213	7592	739	1125	2859	1161
SAOUHSC_00124	NC_007795.1	129656	130861	+	1206	725	5600	613	695	2138	777
SAOUHSC_00125	NC_007795.1	130862	132067	+	1206	4646	14851	1643	2657	4474	2580
SAOUHSC_00126	NC_007795.1	132078	132635	+	558	3292	8211	824	1239	2084	1213
SAOUHSC_00127	NC_007795.1	132635	133522	+	888	1819	10865	1589	2405	3979	2451
SAOUHSC_00128	NC_007795.1	133576	134838	+	1263	5615	17604	2214	3582	5304	3676
SAOUHSC_00129	NC_007795.1	134915	136060	+	1146	5463	15407	2754	3887	5564	4214
SAOUHSC_00130	NC_007795.1	136125	136451	-	327	56	881	738	920	592	1112
SAOUHSC_00131	NC_007795.1	136458	136841	-	384	38	735	533	640	487	779
SAOUHSC_00132	NC_007795.1	137268	138755	+	1488	3094	33328	4556	13569	22156	12570
SAOUHSC_00133	NC_007795.1	139401	140360	+	960	174	1571	384	562	1364	656
SAOUHSC_00134	NC_007795.1	140422	140625	-	204	10	63	16	32	110	36
SAOUHSC_00135	NC_007795.1	140804	141316	+	513	114	334	945	839	263	1477
SAOUHSC_00136	NC_007795.1	141658	142398	+	741	10	40	219	196	31	377
SAOUHSC_00137	NC_007795.1	142412	143386	+	975	58	117	344	333	83	582
SAOUHSC_00138	NC_007795.1	143383	144144	+	762	17	97	258	267	69	467
SAOUHSC_00139	NC_007795.1	144157	145188	+	1032	290	1825	835	786	1020	1328
SAOUHSC_00141	NC_007795.1	145405	145764	+	360	287	5388	20392	19817	5648	31944
SAOUHSC_00142	NC_007795.1	145937	146962	+	1026	84	243	1168	1660	268	1819
SAOUHSC_00143	NC_007795.1	147348	148598	+	1251	316	2338	6820	5968	1911	11495
SAOUHSC_00144	NC_007795.1	149045	156220	+	7176	14060	68079	76111	76747	59654	132811
SAOUHSC_00145	NC_007795.1	156233	156877	+	645	1046	7409	11704	12186	7413	20683
SAOUHSC_00146	NC_007795.1	157205	157684	-	480	1956	3446	3232	2150	3674	3855
SAOUHSC_00147	NC_007795.1	157954	158718	-	765	55	475	2698	1607	400	3018
SAOUHSC_00148	NC_007795.1	158734	159975	-	1242	148	595	3022	1800	422	3217
SAOUHSC_00149	NC_007795.1	159987	161018	-	1032	37	216	732	463	151	861
SAOUHSC_00150	NC_007795.1	161057	162241	-	1185	41	287	966	615	152	1022
SAOUHSC_00151	NC_007795.1	162494	163849	-	1356	348	7490	1601	1527	6674	2100
SAOUHSC_00152	NC_007795.1	164125	164622	-	498	325	842	832	1323	864	1614
SAOUHSC_00153	NC_007795.1	164749	166389	-	1641	424	2956	1262	2460	1412	2747
SAOUHSC_00154	NC_007795.1	166583	166684	+	102	0	5	25	24	14	42
SAOUHSC_00155	NC_007795.1	166663	168660	-	1998	3478	13086	3547	3487	13064	5498
SAOUHSC_00156	NC_007795.1	169309	170349	+	1041	1773	16930	2080	3866	6873	3146
SAOUHSC_00157	NC_007795.1	170349	171245	+	897	2484	8000	1393	2708	2466	1926
SAOUHSC_00158	NC_007795.1	171257	172711	+	1455	2960	9268	2306	4489	3392	3423
SAOUHSC_00160	NC_007795.1	172714	173589	+	876	384	3738	1701	3054	1776	2618
SAOUHSC_00161	NC_007795.1	173783	174064	-	282	9	146	48	39	83	93
SAOUHSC_00162	NC_007795.1	174277	177066	+	2790	659	5677	1768	2390	4384	2830
SAOUHSC_00163	NC_007795.1	177271	178113	+	843	249	4801	742	1019	3091	1196
SAOUHSC_00164	NC_007795.1	178115	179038	+	924	289	3139	672	1092	2660	1164
SAOUHSC_00166	NC_007795.1	179025	180137	+	1113	484	5035	1106	1543	2850	1700
SAOUHSC_00167	NC_007795.1	180402	181994	-	1593	198	763	2792	2467	634	3912
SAOUHSC_00168	NC_007795.1	181951	183429	+	1479	15	67	98	122	66	176
SAOUHSC_00169	NC_007795.1	183435	184598	+	1164	27	108	128	119	90	209
SAOUHSC_00170	NC_007795.1	184615	186390	+	1776	92	484	431	373	291	788
SAOUHSC_00171	NC_007795.1	186428	188434	+	2007	269	1008	668	672	723	1204
SAOUHSC_00172	NC_007795.1	188732	189505	-	774	24	397	2214	2109	419	2620
SAOUHSC_00173	NC_007795.1	189695	190321	-	627	86	1469	35288	24803	1098	41005
SAOUHSC_00174	NC_007795.1	190530	191108	+	579	489	2407	1790	3355	1736	2945
SAOUHSC_00175	NC_007795.1	191491	192588	+	1098	76	364	178	251	238	296
SAOUHSC_00176	NC_007795.1	192601	193872	+	1272	60	256	543	729	140	773
SAOUHSC_00177	NC_007795.1	193875	195143	+	1269	81	334	695	954	166	936
SAOUHSC_00178	NC_007795.1	195145	195984	+	840	31	243	553	787	190	751
SAOUHSC_00179	NC_007795.1	196058	197134	+	1077	221	532	1056	1542	324	1434
SAOUHSC_00180	NC_007795.1	197159	198199	+	1041	169	472	1041	1503	343	1454
SAOUHSC_00181	NC_007795.1	198254	199222	+	969	119	560	1329	1968	526	1926
SAOUHSC_00182	NC_007795.1	199583	200155	-	573	43	974	460	429	870	664
SAOUHSC_00183	NC_007795.1	200310	201689	+	1380	591	1402	3630	4664	2282	3295
SAOUHSC_00184	NC_007795.1	202048	202806	-	759	94	585	389	280	518	501
SAOUHSC_00185	NC_007795.1	202799	204355	-	1557	142	1337	479	454	821	723
SAOUHSC_00186	NC_007795.1	204352	205320	-	969	108	750	218	203	645	331
SAOUHSC_00187	NC_007795.1	205908	208157	+	2250	49122	174684	6919	9739	115863	12060
SAOUHSC_00188	NC_007795.1	208180	208935	+	756	19791	51647	2101	3276	30969	4064
SAOUHSC_00189	NC_007795.1	208925	209233	+	309	60	466	44	49	199	74
SAOUHSC_00190	NC_007795.1	209271	211034	+	1764	199	2059	870	808	1507	1256
SAOUHSC_00191	NC_007795.1	211198	211542	-	345	96	4508	2171	3277	4803	4046
SAOUHSC_00192	NC_007795.1	211732	213642	+	1911	287	2844	4999	8979	5791	5649
SAOUHSC_00193	NC_007795.1	213824	213931	-	108	0	17	21	41	21	33
SAOUHSC_00195	NC_007795.1	214246	215430	-	1185	487	1803	1965	5457	789	2894
SAOUHSC_00196	NC_007795.1	215460	217721	-	2262	568	5369	2428	8221	1635	3670
SAOUHSC_00197	NC_007795.1	217907	219118	-	1212	859	5228	1106	5109	1764	1656
SAOUHSC_00198	NC_007795.1	219230	220735	-	1506	1250	14140	1752	7949	7277	3034
SAOUHSC_00199	NC_007795.1	220761	222338	-	1578	4513	38286	2061	9122	23673	3885
SAOUHSC_00200	NC_007795.1	222779	223921	+	1143	167	1256	646	551	885	980
SAOUHSC_00201	NC_007795.1	224235	225647	-	1413	140	1481	1866	1250	1259	2498
SAOUHSC_00202	NC_007795.1	225908	226264	-	357	72	388	29	45	232	98
SAOUHSC_00203	NC_007795.1	226421	226594	-	174	101	735	72	70	458	144
SAOUHSC_00204	NC_007795.1	226620	227765	-	1146	997	10659	870	1089	5708	1718
SAOUHSC_00205	NC_007795.1	227920	228027	+	108	3	42	41	34	28	55
SAOUHSC_00206	NC_007795.1	228482	229291	+	810	57667	251350	10665	13829	132246	14466
SAOUHSC_00208	NC_007795.1	229502	229645	+	144	10	95	55	49	115	55
SAOUHSC_00209	NC_007795.1	229611	231140	-	1530	564	941	997	1401	1500	1873
SAOUHSC_00211	NC_007795.1	231502	232437	+	936	280	542	195	193	424	291
SAOUHSC_00212	NC_007795.1	232547	232645	+	99	0	0	0	2	0	3
SAOUHSC_00213	NC_007795.1	232776	234872	+	2097	20	134	162	180	130	260
SAOUHSC_00214	NC_007795.1	234857	235324	+	468	3	21	47	46	22	87
SAOUHSC_00215	NC_007795.1	235347	235625	+	279	2	23	49	45	21	59
SAOUHSC_00216	NC_007795.1	235852	237111	+	1260	24	160	234	244	164	390
SAOUHSC_00217	NC_007795.1	237129	238184	+	1056	74	263	307	316	243	529
SAOUHSC_00218	NC_007795.1	238186	238332	+	147	6	12	17	19	15	30
SAOUHSC_00219	NC_007795.1	238356	239399	+	1044	176	467	535	549	439	988
SAOUHSC_00220	NC_007795.1	239969	240643	+	675	1235	3810	494	889	2488	893
SAOUHSC_00221	NC_007795.1	240636	241661	+	1026	530	4411	843	1275	3474	1420
SAOUHSC_00222	NC_007795.1	241836	243377	+	1542	1166	6922	1830	2160	4935	2781
SAOUHSC_00223	NC_007795.1	243805	244974	+	1170	347	2620	1140	1691	1672	2045
SAOUHSC_00225	NC_007795.1	245250	245966	+	717	522	3294	1914	2321	3057	2878
SAOUHSC_00226	NC_007795.1	245959	246984	+	1026	1304	9212	4756	5013	6412	6519
SAOUHSC_00227	NC_007795.1	247006	248694	+	1689	2366	20246	11807	11329	12785	14985
SAOUHSC_00228	NC_007795.1	248727	250451	+	1725	6675	32460	27074	26016	21428	33040
SAOUHSC_00229	NC_007795.1	250591	251265	+	675	503	3801	480	487	1601	708
SAOUHSC_00230	NC_007795.1	251527	253266	+	1740	1083	7405	662	840	5245	991
SAOUHSC_00231	NC_007795.1	253269	254009	+	741	70	975	117	130	553	210
SAOUHSC_00232	NC_007795.1	254122	254565	+	444	177	2320	119	193	339	126
SAOUHSC_00233	NC_007795.1	254558	255259	+	702	1696	4927	531	975	1055	855
SAOUHSC_00234	NC_007795.1	255367	256071	-	705	64	994	913	1042	790	1348
SAOUHSC_00235	NC_007795.1	256220	257011	+	792	17	244	354	367	122	633
SAOUHSC_00236	NC_007795.1	257027	258463	+	1437	102	322	651	735	209	1028
SAOUHSC_00237	NC_007795.1	258896	259657	-	762	18	181	86	117	134	169
SAOUHSC_00238	NC_007795.1	259676	259810	+	135	2	14	28	15	12	38
SAOUHSC_00239	NC_007795.1	259908	260822	-	915	941	3587	1237	2223	1819	2470
SAOUHSC_00240	NC_007795.1	260850	261254	-	405	129	1676	541	913	708	976
SAOUHSC_00241	NC_007795.1	261269	262150	-	882	848	1744	999	1780	1413	1986
SAOUHSC_00242	NC_007795.1	262382	263380	-	999	554	2152	589	811	1757	889
SAOUHSC_00243	NC_007795.1	263531	263710	+	180	0	43	152	70	65	216
SAOUHSC_00244	NC_007795.1	263760	264152	+	393	16	409	867	555	310	946
SAOUHSC_00246	NC_007795.1	264825	266201	-	1377	137	1257	1387	2206	1543	2559
SAOUHSC_00247	NC_007795.1	266435	267427	+	993	122	745	520	602	481	801
SAOUHSC_00248	NC_007795.1	267753	268703	+	951	747	1644	1230	1530	1142	1714
SAOUHSC_00249	NC_007795.1	268755	269414	-	660	24	312	316	293	271	473
SAOUHSC_00250	NC_007795.1	269428	270348	-	921	14	288	274	223	223	374
SAOUHSC_00251	NC_007795.1	270345	271511	-	1167	7	122	99	85	123	139
SAOUHSC_00253	NC_007795.1	271579	273102	-	1524	32	663	1497	1071	645	1877
SAOUHSC_00254	NC_007795.1	273373	274026	+	654	3	57	71	60	79	86
SAOUHSC_00255	NC_007795.1	274060	274647	+	588	22	196	332	239	178	458
SAOUHSC_00256	NC_007795.1	274790	275683	-	894	412	1199	1293	1258	976	1748
SAOUHSC_00257	NC_007795.1	275931	276224	+	294	1722	2991	2590	3753	2299	4044
SAOUHSC_00258	NC_007795.1	276308	279337	+	3030	83	1065	2586	2724	1000	3565
SAOUHSC_00259	NC_007795.1	279337	279795	+	459	7	113	504	370	132	641
SAOUHSC_00260	NC_007795.1	279728	280009	+	282	0	7	11	12	6	12
SAOUHSC_00261	NC_007795.1	280022	281356	+	1335	5	124	135	115	101	213
SAOUHSC_00262	NC_007795.1	281378	285817	+	4440	116	727	922	835	716	1386
SAOUHSC_00264	NC_007795.1	285847	286239	+	393	11	79	71	57	68	104
SAOUHSC_00265	NC_007795.1	286255	286569	+	315	55	68	66	82	88	128
SAOUHSC_00266	NC_007795.1	286569	287243	+	675	16	131	133	110	104	206
SAOUHSC_00267	NC_007795.1	287243	287560	+	318	21	70	61	65	60	91
SAOUHSC_00268	NC_007795.1	287570	289414	+	1845	1448	4226	1502	1656	2878	2168
SAOUHSC_00269	NC_007795.1	289425	289916	+	492	502	5183	1005	933	3368	1397
SAOUHSC_00270	NC_007795.1	290124	290807	+	684	50	452	133	109	294	174
SAOUHSC_00271	NC_007795.1	290954	291565	+	612	29	353	54	67	208	126
SAOUHSC_00272	NC_007795.1	291701	291919	+	219	21	272	876	607	471	1332
SAOUHSC_00274	NC_007795.1	292051	292551	+	501	19	118	59	57	87	106
SAOUHSC_00275	NC_007795.1	292562	293062	+	501	32	302	107	112	172	137
SAOUHSC_00276	NC_007795.1	293073	293573	+	501	18	338	90	112	159	125
SAOUHSC_00277	NC_007795.1	293584	294084	+	501	40	293	78	99	139	114
SAOUHSC_00278	NC_007795.1	294095	294583	+	489	24	194	76	59	128	148
SAOUHSC_00279	NC_007795.1	295206	295580	+	375	52	772	1620	1266	606	1926
SAOUHSC_00280	NC_007795.1	295733	296131	+	399	199	1029	2078	1569	882	2646
SAOUHSC_00281	NC_007795.1	296347	297171	-	825	925	5209	505	508	2540	661
SAOUHSC_00282	NC_007795.1	297408	298685	-	1278	1710	13473	4084	6250	12459	9524
SAOUHSC_00284	NC_007795.1	299299	300189	+	891	41	421	353	303	342	550
SAOUHSC_00285	NC_007795.1	300438	301487	+	1050	1280	10580	3082	4636	7478	3841
SAOUHSC_00287	NC_007795.1	301500	302177	+	678	2826	10358	2841	4050	6996	3842
SAOUHSC_00289	NC_007795.1	302336	302476	-	141	0	1	8	11	2	11
SAOUHSC_00290	NC_007795.1	302466	303416	+	951	1206	6278	3358	3303	4010	4398
SAOUHSC_00291	NC_007795.1	303759	304877	+	1119	100	1067	108	179	427	217
SAOUHSC_00292	NC_007795.1	304852	305775	+	924	231	1270	249	317	541	401
SAOUHSC_00293	NC_007795.1	305786	307006	+	1221	150	1207	495	544	749	897
SAOUHSC_00294	NC_007795.1	307111	308643	-	1533	206	1196	2413	3753	1731	3641
SAOUHSC_00295	NC_007795.1	308683	309564	-	882	192	1113	1336	2314	1538	1839
SAOUHSC_00296	NC_007795.1	309722	310582	+	861	517	1773	837	1062	1041	1155
SAOUHSC_00297	NC_007795.1	310860	311660	-	801	682	3415	678	952	2292	1295
SAOUHSC_00298	NC_007795.1	311800	312468	+	669	276	1240	1774	2282	1039	2638
SAOUHSC_00299	NC_007795.1	312595	313908	-	1314	59	859	286	302	423	469
SAOUHSC_00300	NC_007795.1	314326	316398	+	2073	23472	60164	51281	61902	44259	71571
SAOUHSC_00301	NC_007795.1	316640	317467	-	828	307	1783	887	912	1491	1376
SAOUHSC_00302	NC_007795.1	317540	318739	-	1200	272	1462	601	508	1086	876
SAOUHSC_00303	NC_007795.1	318835	318927	+	93	5	68	31	24	38	45
SAOUHSC_00304	NC_007795.1	319041	320042	+	1002	110	520	222	292	420	447
SAOUHSC_00305	NC_007795.1	320076	320408	+	333	39	265	126	151	156	215
SAOUHSC_00306	NC_007795.1	320409	321209	+	801	76	406	254	354	362	465
SAOUHSC_00307	NC_007795.1	321199	322143	+	945	135	533	284	401	387	584
SAOUHSC_00308	NC_007795.1	322121	323143	+	1023	170	747	429	504	447	758
SAOUHSC_00309	NC_007795.1	323458	324483	+	1026	3309	8932	2075	3242	8270	3325
SAOUHSC_00310	NC_007795.1	324576	325922	-	1347	320	1471	1571	2807	2075	2257
SAOUHSC_00311	NC_007795.1	325937	326221	-	285	108	266	254	499	425	316
SAOUHSC_00312	NC_007795.1	326223	326666	-	444	87	404	378	833	736	566
SAOUHSC_00313	NC_007795.1	326671	328626	-	1956	521	2324	1478	2976	5669	1934
SAOUHSC_00314	NC_007795.1	328838	329257	+	420	513	5000	5896	8069	4275	10068
SAOUHSC_00315	NC_007795.1	329364	330719	+	1356	45	575	3108	4438	580	5410
SAOUHSC_00316	NC_007795.1	330823	331263	+	441	29	401	1375	1510	350	2112
SAOUHSC_00317	NC_007795.1	331346	332704	-	1359	1856	9079	2641	3142	4054	4184
SAOUHSC_00318	NC_007795.1	333012	333938	+	927	585	2476	750	844	1305	839
SAOUHSC_00319	NC_007795.1	333952	335013	+	1062	1459	4356	2042	1981	2489	2488
SAOUHSC_00320	NC_007795.1	335027	335593	+	567	308	2022	1205	1237	1265	1649
SAOUHSC_00322	NC_007795.1	335653	336648	-	996	114	596	182	227	691	307
SAOUHSC_00323	NC_007795.1	336647	337054	+	408	47	70	81	66	66	114
SAOUHSC_00324	NC_007795.1	337067	337612	+	546	1211	7529	340	421	2937	557
SAOUHSC_00325	NC_007795.1	337880	338734	+	855	29	584	167	154	233	284
