# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "/ifb/data/mydatalocal/work/ed/a50959958c8a1035b7ca4e90a61e61/SRR10379722_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/50/0ed48766b0e229f79413cf426b225b/SRR10379726_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/c8/3784a96f58cb6d43cefcc83da746bc/SRR10379723_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/a3/a70741af2b0a622c0e9a52865ad90f/SRR10379724_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/e3/c0b8388a2096991a6f71f12bbaee56/SRR10379721_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/b1/f7b1948a746a8f0ce94c83754b5bd0/SRR10379725_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/ifb/data/mydatalocal/work/ed/a50959958c8a1035b7ca4e90a61e61/SRR10379722_trimmed.sorted.bam	/ifb/data/mydatalocal/work/50/0ed48766b0e229f79413cf426b225b/SRR10379726_trimmed.sorted.bam	/ifb/data/mydatalocal/work/c8/3784a96f58cb6d43cefcc83da746bc/SRR10379723_trimmed.sorted.bam	/ifb/data/mydatalocal/work/a3/a70741af2b0a622c0e9a52865ad90f/SRR10379724_trimmed.sorted.bam	/ifb/data/mydatalocal/work/e3/c0b8388a2096991a6f71f12bbaee56/SRR10379721_trimmed.sorted.bam	/ifb/data/mydatalocal/work/b1/f7b1948a746a8f0ce94c83754b5bd0/SRR10379725_trimmed.sorted.bam
SAOUHSC_00053	NC_007795.1	56284	57054	+	771	165	28	217	189	234	362
SAOUHSC_00054	NC_007795.1	57118	57888	+	771	283	42	296	252	371	409
SAOUHSC_00055	NC_007795.1	57955	58722	+	768	348	39	409	308	535	446
SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	2166	463	1841	3358	2728	5006
SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	493	279	366	755	537	910
SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	660	400	597	1184	930	1877
SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	1373	757	1813	2097	1739	1761
SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	1221	716	1188	1657	1796	2397
SAOUHSC_00062	NC_007795.1	68201	69073	-	873	26	3	47	18	77	20
SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	84	26	98	214	134	237
SAOUHSC_00065	NC_007795.1	70773	71246	+	474	280	306	256	1663	345	1991
SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	3790	2159	3723	6029	5244	7506
SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	2247	876	1483	8913	2128	5056
SAOUHSC_00070	NC_007795.1	75400	76152	-	753	260	50	304	951	358	1052
SAOUHSC_00071	NC_007795.1	76521	77435	-	915	4380	1664	2427	11088	4147	13447
SAOUHSC_00072	NC_007795.1	77516	78511	-	996	384	130	307	253	547	382
SAOUHSC_00074	NC_007795.1	78527	79519	-	993	474	48	444	673	770	848
SAOUHSC_00075	NC_007795.1	79885	80730	+	846	162	17	124	67	281	51
SAOUHSC_00076	NC_007795.1	80727	81737	+	1011	236	77	191	166	405	151
SAOUHSC_00077	NC_007795.1	81758	83512	+	1755	486	92	418	394	890	413
SAOUHSC_00078	NC_007795.1	83505	84761	+	1257	299	130	288	232	594	217
SAOUHSC_00079	NC_007795.1	84751	86487	+	1737	529	79	393	371	882	383
SAOUHSC_00080	NC_007795.1	86396	88246	+	1851	726	183	655	568	1247	603
SAOUHSC_00081	NC_007795.1	88221	88997	+	777	371	167	357	303	632	397
SAOUHSC_00082	NC_007795.1	88997	90199	+	1203	640	167	618	506	1149	761
SAOUHSC_00083	NC_007795.1	90203	90967	+	765	711	201	768	541	1286	807
SAOUHSC_00084	NC_007795.1	91163	91570	+	408	55	16	49	199	71	240
SAOUHSC_00085	NC_007795.1	91620	92246	+	627	90	57	91	387	112	405
SAOUHSC_00086	NC_007795.1	92458	93234	+	777	4850	10209	2269	9280	5113	17970
SAOUHSC_00087	NC_007795.1	93378	93500	+	123	4	0	6	2	3	4
SAOUHSC_00088	NC_007795.1	93570	94550	+	981	46	3	63	45	80	32
SAOUHSC_00089	NC_007795.1	94513	95205	+	693	38	11	41	35	48	22
SAOUHSC_00090	NC_007795.1	95415	96581	+	1167	70	7	73	22	114	37
SAOUHSC_00091	NC_007795.1	96562	97800	+	1239	53	4	73	46	102	63
SAOUHSC_00092	NC_007795.1	97790	99220	+	1431	764	137	826	1067	1106	1702
SAOUHSC_00093	NC_007795.1	99488	100087	+	600	2423	338	2816	1208	4023	1224
SAOUHSC_00094	NC_007795.1	100455	101054	+	600	59867	15885	47328	38075	70647	58503
SAOUHSC_00096	NC_007795.1	101370	102125	-	756	1345	249	1410	1240	1888	1334
SAOUHSC_00097	NC_007795.1	102361	103068	+	708	6166	344	3689	1282	6006	2826
SAOUHSC_00099	NC_007795.1	103075	104427	+	1353	12207	350	7924	3293	11013	5411
SAOUHSC_00100	NC_007795.1	104508	105170	+	663	14968	3728	11150	6076	14853	8510
SAOUHSC_00101	NC_007795.1	105198	106376	+	1179	21718	6258	12674	12680	19071	16509
SAOUHSC_00102	NC_007795.1	106507	107322	-	816	169	24	166	127	310	78
SAOUHSC_00103	NC_007795.1	107319	108119	-	801	90	4	111	60	174	67
SAOUHSC_00104	NC_007795.1	108121	108894	-	774	112	8	128	56	194	68
SAOUHSC_00105	NC_007795.1	109108	110064	-	957	138	5	145	85	261	73
SAOUHSC_00106	NC_007795.1	110293	111837	+	1545	822	293	777	725	1113	911
SAOUHSC_00107	NC_007795.1	111888	113423	+	1536	1670	465	1453	1607	2039	2236
SAOUHSC_00108	NC_007795.1	113507	113710	+	204	11	0	11	3	18	18
SAOUHSC_00109	NC_007795.1	114083	114568	+	486	29	3	36	55	74	53
SAOUHSC_00111	NC_007795.1	114927	115214	+	288	11	40	15	52	17	31
SAOUHSC_00112	NC_007795.1	115796	116088	+	293	214	55	235	378	310	620
SAOUHSC_00113	NC_007795.1	116538	119147	+	2610	1449	5722	1340	8549	2253	21350
SAOUHSC_00114	NC_007795.1	119492	120160	+	669	1520	1017	981	6040	1354	11177
SAOUHSC_00115	NC_007795.1	120176	120862	+	687	1952	2244	1136	6867	1666	12798
SAOUHSC_00116	NC_007795.1	120865	121629	+	765	2455	2338	1424	6831	2039	15397
SAOUHSC_00117	NC_007795.1	121649	123472	+	1824	5141	8759	2629	11006	4229	23244
SAOUHSC_00118	NC_007795.1	123462	124490	+	1029	2745	4275	1587	5497	2321	13637
SAOUHSC_00119	NC_007795.1	124503	125612	+	1110	2909	2411	1610	5263	2524	14192
SAOUHSC_00120	NC_007795.1	125616	126740	+	1125	3034	5601	1698	5760	2546	14323
SAOUHSC_00121	NC_007795.1	126743	127369	+	627	1164	1686	746	2601	1135	6786
SAOUHSC_00122	NC_007795.1	127374	128483	+	1110	1758	1358	1076	4085	1743	10770
SAOUHSC_00123	NC_007795.1	128497	129663	+	1167	1125	2213	739	2859	1161	7592
SAOUHSC_00124	NC_007795.1	129656	130861	+	1206	695	725	613	2138	777	5600
SAOUHSC_00125	NC_007795.1	130862	132067	+	1206	2657	4646	1643	4474	2580	14851
SAOUHSC_00126	NC_007795.1	132078	132635	+	558	1239	3292	824	2084	1213	8211
SAOUHSC_00127	NC_007795.1	132635	133522	+	888	2405	1819	1589	3979	2451	10865
SAOUHSC_00128	NC_007795.1	133576	134838	+	1263	3582	5615	2214	5304	3676	17604
SAOUHSC_00129	NC_007795.1	134915	136060	+	1146	3887	5463	2754	5564	4214	15407
SAOUHSC_00130	NC_007795.1	136125	136451	-	327	920	56	738	592	1112	881
SAOUHSC_00131	NC_007795.1	136458	136841	-	384	640	38	533	487	779	735
SAOUHSC_00132	NC_007795.1	137268	138755	+	1488	13569	3094	4556	22156	12570	33328
SAOUHSC_00133	NC_007795.1	139401	140360	+	960	562	174	384	1364	656	1571
SAOUHSC_00134	NC_007795.1	140422	140625	-	204	32	10	16	110	36	63
SAOUHSC_00135	NC_007795.1	140804	141316	+	513	839	114	945	263	1477	334
SAOUHSC_00136	NC_007795.1	141658	142398	+	741	196	10	219	31	377	40
SAOUHSC_00137	NC_007795.1	142412	143386	+	975	333	58	344	83	582	117
SAOUHSC_00138	NC_007795.1	143383	144144	+	762	267	17	258	69	467	97
SAOUHSC_00139	NC_007795.1	144157	145188	+	1032	786	290	835	1020	1328	1825
SAOUHSC_00141	NC_007795.1	145405	145764	+	360	19817	287	20392	5648	31944	5388
SAOUHSC_00142	NC_007795.1	145937	146962	+	1026	1660	84	1168	268	1819	243
SAOUHSC_00143	NC_007795.1	147348	148598	+	1251	5968	316	6820	1911	11495	2338
SAOUHSC_00144	NC_007795.1	149045	156220	+	7176	76747	14060	76111	59654	132811	68079
SAOUHSC_00145	NC_007795.1	156233	156877	+	645	12186	1046	11704	7413	20683	7409
SAOUHSC_00146	NC_007795.1	157205	157684	-	480	2150	1956	3232	3674	3855	3446
SAOUHSC_00147	NC_007795.1	157954	158718	-	765	1607	55	2698	400	3018	475
SAOUHSC_00148	NC_007795.1	158734	159975	-	1242	1800	148	3022	422	3217	595
SAOUHSC_00149	NC_007795.1	159987	161018	-	1032	463	37	732	151	861	216
SAOUHSC_00150	NC_007795.1	161057	162241	-	1185	615	41	966	152	1022	287
SAOUHSC_00151	NC_007795.1	162494	163849	-	1356	1527	348	1601	6674	2100	7490
SAOUHSC_00152	NC_007795.1	164125	164622	-	498	1323	325	832	864	1614	842
SAOUHSC_00153	NC_007795.1	164749	166389	-	1641	2460	424	1262	1412	2747	2956
SAOUHSC_00154	NC_007795.1	166583	166684	+	102	24	0	25	14	42	5
SAOUHSC_00155	NC_007795.1	166663	168660	-	1998	3487	3478	3547	13064	5498	13086
SAOUHSC_00156	NC_007795.1	169309	170349	+	1041	3866	1773	2080	6873	3146	16930
SAOUHSC_00157	NC_007795.1	170349	171245	+	897	2708	2484	1393	2466	1926	8000
SAOUHSC_00158	NC_007795.1	171257	172711	+	1455	4489	2960	2306	3392	3423	9268
SAOUHSC_00160	NC_007795.1	172714	173589	+	876	3054	384	1701	1776	2618	3738
SAOUHSC_00161	NC_007795.1	173783	174064	-	282	39	9	48	83	93	146
SAOUHSC_00162	NC_007795.1	174277	177066	+	2790	2390	659	1768	4384	2830	5677
SAOUHSC_00163	NC_007795.1	177271	178113	+	843	1019	249	742	3091	1196	4801
SAOUHSC_00164	NC_007795.1	178115	179038	+	924	1092	289	672	2660	1164	3139
SAOUHSC_00166	NC_007795.1	179025	180137	+	1113	1543	484	1106	2850	1700	5035
SAOUHSC_00167	NC_007795.1	180402	181994	-	1593	2467	198	2792	634	3912	763
SAOUHSC_00168	NC_007795.1	181951	183429	+	1479	122	15	98	66	176	67
SAOUHSC_00169	NC_007795.1	183435	184598	+	1164	119	27	128	90	209	108
SAOUHSC_00170	NC_007795.1	184615	186390	+	1776	373	92	431	291	788	484
SAOUHSC_00171	NC_007795.1	186428	188434	+	2007	672	269	668	723	1204	1008
SAOUHSC_00172	NC_007795.1	188732	189505	-	774	2109	24	2214	419	2620	397
SAOUHSC_00173	NC_007795.1	189695	190321	-	627	24803	86	35288	1098	41005	1469
SAOUHSC_00174	NC_007795.1	190530	191108	+	579	3355	489	1790	1736	2945	2407
SAOUHSC_00175	NC_007795.1	191491	192588	+	1098	251	76	178	238	296	364
SAOUHSC_00176	NC_007795.1	192601	193872	+	1272	729	60	543	140	773	256
SAOUHSC_00177	NC_007795.1	193875	195143	+	1269	954	81	695	166	936	334
SAOUHSC_00178	NC_007795.1	195145	195984	+	840	787	31	553	190	751	243
SAOUHSC_00179	NC_007795.1	196058	197134	+	1077	1542	221	1056	324	1434	532
SAOUHSC_00180	NC_007795.1	197159	198199	+	1041	1503	169	1041	343	1454	472
SAOUHSC_00181	NC_007795.1	198254	199222	+	969	1968	119	1329	526	1926	560
SAOUHSC_00182	NC_007795.1	199583	200155	-	573	429	43	460	870	664	974
SAOUHSC_00183	NC_007795.1	200310	201689	+	1380	4664	591	3630	2282	3295	1402
SAOUHSC_00184	NC_007795.1	202048	202806	-	759	280	94	389	518	501	585
SAOUHSC_00185	NC_007795.1	202799	204355	-	1557	454	142	479	821	723	1337
SAOUHSC_00186	NC_007795.1	204352	205320	-	969	203	108	218	645	331	750
SAOUHSC_00187	NC_007795.1	205908	208157	+	2250	9739	49122	6919	115864	12060	174684
SAOUHSC_00188	NC_007795.1	208180	208935	+	756	3276	19791	2101	30969	4064	51647
SAOUHSC_00189	NC_007795.1	208925	209233	+	309	49	60	44	199	74	466
SAOUHSC_00190	NC_007795.1	209271	211034	+	1764	808	199	870	1507	1256	2059
SAOUHSC_00191	NC_007795.1	211198	211542	-	345	3277	96	2171	4803	4046	4508
SAOUHSC_00192	NC_007795.1	211732	213642	+	1911	8979	287	4999	5791	5649	2844
SAOUHSC_00193	NC_007795.1	213824	213931	-	108	41	0	21	21	33	17
SAOUHSC_00195	NC_007795.1	214246	215430	-	1185	5457	487	1965	789	2894	1803
SAOUHSC_00196	NC_007795.1	215460	217721	-	2262	8221	568	2428	1635	3670	5369
SAOUHSC_00197	NC_007795.1	217907	219118	-	1212	5109	859	1106	1764	1656	5228
SAOUHSC_00198	NC_007795.1	219230	220735	-	1506	7949	1250	1752	7277	3034	14140
SAOUHSC_00199	NC_007795.1	220761	222338	-	1578	9122	4513	2061	23673	3885	38286
SAOUHSC_00200	NC_007795.1	222779	223921	+	1143	551	167	646	885	980	1256
SAOUHSC_00201	NC_007795.1	224235	225647	-	1413	1250	140	1866	1259	2498	1481
SAOUHSC_00202	NC_007795.1	225908	226264	-	357	45	72	29	232	98	388
SAOUHSC_00203	NC_007795.1	226421	226594	-	174	70	101	72	458	144	735
SAOUHSC_00204	NC_007795.1	226620	227765	-	1146	1089	997	870	5708	1718	10659
SAOUHSC_00205	NC_007795.1	227920	228027	+	108	34	3	41	28	55	42
SAOUHSC_00206	NC_007795.1	228482	229291	+	810	13829	57667	10665	132246	14466	251349
SAOUHSC_00208	NC_007795.1	229502	229645	+	144	49	10	55	115	55	95
SAOUHSC_00209	NC_007795.1	229611	231140	-	1530	1401	564	997	1500	1873	941
SAOUHSC_00211	NC_007795.1	231502	232437	+	936	193	280	195	424	291	542
SAOUHSC_00212	NC_007795.1	232547	232645	+	99	2	0	0	0	3	0
SAOUHSC_00213	NC_007795.1	232776	234872	+	2097	180	20	162	130	260	134
SAOUHSC_00214	NC_007795.1	234857	235324	+	468	46	3	47	22	87	21
SAOUHSC_00215	NC_007795.1	235347	235625	+	279	45	2	49	21	59	23
SAOUHSC_00216	NC_007795.1	235852	237111	+	1260	244	24	234	164	390	160
SAOUHSC_00217	NC_007795.1	237129	238184	+	1056	316	74	307	243	529	263
SAOUHSC_00218	NC_007795.1	238186	238332	+	147	19	6	17	15	30	12
SAOUHSC_00219	NC_007795.1	238356	239399	+	1044	549	176	535	439	988	467
SAOUHSC_00220	NC_007795.1	239969	240643	+	675	889	1235	494	2488	893	3810
SAOUHSC_00221	NC_007795.1	240636	241661	+	1026	1275	530	843	3474	1420	4411
SAOUHSC_00222	NC_007795.1	241836	243377	+	1542	2160	1166	1830	4935	2781	6922
SAOUHSC_00223	NC_007795.1	243805	244974	+	1170	1691	347	1140	1672	2045	2620
SAOUHSC_00225	NC_007795.1	245250	245966	+	717	2321	522	1914	3057	2878	3294
SAOUHSC_00226	NC_007795.1	245959	246984	+	1026	5013	1304	4756	6412	6519	9212
SAOUHSC_00227	NC_007795.1	247006	248694	+	1689	11329	2366	11807	12785	14985	20246
SAOUHSC_00228	NC_007795.1	248727	250451	+	1725	26016	6675	27074	21428	33040	32460
SAOUHSC_00229	NC_007795.1	250591	251265	+	675	487	503	480	1601	708	3801
SAOUHSC_00230	NC_007795.1	251527	253266	+	1740	840	1083	662	5245	991	7405
SAOUHSC_00231	NC_007795.1	253269	254009	+	741	130	70	117	553	210	975
SAOUHSC_00232	NC_007795.1	254122	254565	+	444	193	177	119	339	126	2320
SAOUHSC_00233	NC_007795.1	254558	255259	+	702	975	1696	531	1055	855	4927
SAOUHSC_00234	NC_007795.1	255367	256071	-	705	1042	64	913	790	1348	994
SAOUHSC_00235	NC_007795.1	256220	257011	+	792	367	17	354	122	633	244
SAOUHSC_00236	NC_007795.1	257027	258463	+	1437	735	102	651	209	1028	322
SAOUHSC_00237	NC_007795.1	258896	259657	-	762	117	18	86	134	169	181
SAOUHSC_00238	NC_007795.1	259676	259810	+	135	15	2	28	12	38	14
SAOUHSC_00239	NC_007795.1	259908	260822	-	915	2223	941	1237	1819	2470	3587
SAOUHSC_00240	NC_007795.1	260850	261254	-	405	913	129	541	708	976	1676
SAOUHSC_00241	NC_007795.1	261269	262150	-	882	1780	848	999	1413	1986	1744
SAOUHSC_00242	NC_007795.1	262382	263380	-	999	811	554	589	1757	889	2152
SAOUHSC_00243	NC_007795.1	263531	263710	+	180	70	0	152	65	216	43
SAOUHSC_00244	NC_007795.1	263760	264152	+	393	555	16	867	310	946	409
SAOUHSC_00246	NC_007795.1	264825	266201	-	1377	2206	137	1387	1543	2559	1257
SAOUHSC_00247	NC_007795.1	266435	267427	+	993	602	122	520	481	801	745
SAOUHSC_00248	NC_007795.1	267753	268703	+	951	1530	747	1230	1142	1714	1644
SAOUHSC_00249	NC_007795.1	268755	269414	-	660	293	24	316	271	473	312
SAOUHSC_00250	NC_007795.1	269428	270348	-	921	223	14	274	223	374	288
SAOUHSC_00251	NC_007795.1	270345	271511	-	1167	85	7	99	123	139	122
SAOUHSC_00253	NC_007795.1	271579	273102	-	1524	1071	32	1497	645	1877	663
SAOUHSC_00254	NC_007795.1	273373	274026	+	654	60	3	71	79	86	57
SAOUHSC_00255	NC_007795.1	274060	274647	+	588	239	22	332	178	458	196
SAOUHSC_00256	NC_007795.1	274790	275683	-	894	1258	412	1293	976	1748	1199
SAOUHSC_00257	NC_007795.1	275931	276224	+	294	3753	1722	2590	2299	4044	2991
SAOUHSC_00258	NC_007795.1	276308	279337	+	3030	2724	83	2586	1000	3565	1065
SAOUHSC_00259	NC_007795.1	279337	279795	+	459	370	7	504	132	641	113
SAOUHSC_00260	NC_007795.1	279728	280009	+	282	12	0	11	6	12	7
SAOUHSC_00261	NC_007795.1	280022	281356	+	1335	115	5	135	101	213	124
SAOUHSC_00262	NC_007795.1	281378	285817	+	4440	835	116	922	716	1386	727
SAOUHSC_00264	NC_007795.1	285847	286239	+	393	57	11	71	68	104	79
SAOUHSC_00265	NC_007795.1	286255	286569	+	315	82	55	66	88	128	68
SAOUHSC_00266	NC_007795.1	286569	287243	+	675	110	16	133	104	206	131
SAOUHSC_00267	NC_007795.1	287243	287560	+	318	65	21	61	60	91	70
SAOUHSC_00268	NC_007795.1	287570	289414	+	1845	1656	1448	1502	2878	2168	4226
SAOUHSC_00269	NC_007795.1	289425	289916	+	492	933	502	1005	3368	1397	5183
SAOUHSC_00270	NC_007795.1	290124	290807	+	684	109	50	133	294	174	452
SAOUHSC_00271	NC_007795.1	290954	291565	+	612	67	29	54	208	126	353
SAOUHSC_00272	NC_007795.1	291701	291919	+	219	607	21	876	471	1332	272
SAOUHSC_00274	NC_007795.1	292051	292551	+	501	57	19	59	87	106	118
SAOUHSC_00275	NC_007795.1	292562	293062	+	501	112	32	107	172	137	302
SAOUHSC_00276	NC_007795.1	293073	293573	+	501	112	18	90	159	125	338
SAOUHSC_00277	NC_007795.1	293584	294084	+	501	99	40	78	139	114	293
SAOUHSC_00278	NC_007795.1	294095	294583	+	489	59	24	76	128	148	194
SAOUHSC_00279	NC_007795.1	295206	295580	+	375	1266	52	1620	606	1926	772
SAOUHSC_00280	NC_007795.1	295733	296131	+	399	1569	199	2078	882	2646	1029
SAOUHSC_00281	NC_007795.1	296347	297171	-	825	508	925	505	2540	661	5209
SAOUHSC_00282	NC_007795.1	297408	298685	-	1278	6250	1710	4084	12459	9524	13473
SAOUHSC_00284	NC_007795.1	299299	300189	+	891	303	41	353	342	550	421
SAOUHSC_00285	NC_007795.1	300438	301487	+	1050	4636	1280	3082	7478	3841	10580
SAOUHSC_00287	NC_007795.1	301500	302177	+	678	4050	2826	2841	6996	3842	10358
SAOUHSC_00289	NC_007795.1	302336	302476	-	141	11	0	8	2	11	1
SAOUHSC_00290	NC_007795.1	302466	303416	+	951	3303	1206	3358	4010	4398	6278
SAOUHSC_00291	NC_007795.1	303759	304877	+	1119	179	100	108	427	217	1067
SAOUHSC_00292	NC_007795.1	304852	305775	+	924	317	231	249	541	401	1270
SAOUHSC_00293	NC_007795.1	305786	307006	+	1221	544	150	495	749	897	1207
SAOUHSC_00294	NC_007795.1	307111	308643	-	1533	3753	206	2413	1731	3641	1196
SAOUHSC_00295	NC_007795.1	308683	309564	-	882	2314	192	1336	1538	1839	1113
SAOUHSC_00296	NC_007795.1	309722	310582	+	861	1062	517	837	1041	1155	1773
SAOUHSC_00297	NC_007795.1	310860	311660	-	801	952	682	678	2292	1295	3415
SAOUHSC_00298	NC_007795.1	311800	312468	+	669	2282	276	1774	1039	2638	1240
SAOUHSC_00299	NC_007795.1	312595	313908	-	1314	302	59	286	423	469	859
SAOUHSC_00300	NC_007795.1	314326	316398	+	2073	61902	23472	51281	44259	71571	60164
SAOUHSC_00301	NC_007795.1	316640	317467	-	828	912	307	887	1491	1376	1783
SAOUHSC_00302	NC_007795.1	317540	318739	-	1200	508	272	601	1086	876	1462
SAOUHSC_00303	NC_007795.1	318835	318927	+	93	24	5	31	38	45	68
