# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "1" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "SRR10379726_trimmed.sorted.bam" "SRR10379723_trimmed.sorted.bam" "SRR10379722_trimmed.sorted.bam" "SRR10379725_trimmed.sorted.bam" "SRR10379724_trimmed.sorted.bam" "SRR10379721_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_trimmed.sorted.bam	SRR10379723_trimmed.sorted.bam	SRR10379722_trimmed.sorted.bam	SRR10379725_trimmed.sorted.bam	SRR10379724_trimmed.sorted.bam	SRR10379721_trimmed.sorted.bam
SAOUHSC_00214	NC_007795.1	234857	235324	+	468	3	47	46	21	22	87
SAOUHSC_00215	NC_007795.1	235347	235625	+	279	2	49	45	23	21	59
SAOUHSC_00216	NC_007795.1	235852	237111	+	1260	24	234	244	160	164	390
SAOUHSC_00217	NC_007795.1	237129	238184	+	1056	74	307	316	263	243	529
SAOUHSC_00218	NC_007795.1	238186	238332	+	147	6	17	19	12	15	30
SAOUHSC_00219	NC_007795.1	238356	239399	+	1044	176	535	549	467	439	988
SAOUHSC_00220	NC_007795.1	239969	240643	+	675	1235	494	889	3810	2488	893
SAOUHSC_00221	NC_007795.1	240636	241661	+	1026	530	843	1275	4411	3474	1420
SAOUHSC_00222	NC_007795.1	241836	243377	+	1542	1166	1830	2160	6922	4935	2781
SAOUHSC_00223	NC_007795.1	243805	244974	+	1170	347	1140	1691	2620	1672	2045
SAOUHSC_00225	NC_007795.1	245250	245966	+	717	522	1914	2321	3294	3057	2878
SAOUHSC_00226	NC_007795.1	245959	246984	+	1026	1304	4756	5013	9212	6412	6519
SAOUHSC_00227	NC_007795.1	247006	248694	+	1689	2366	11807	11329	20246	12785	14985
SAOUHSC_00228	NC_007795.1	248727	250451	+	1725	6675	27074	26016	32460	21428	33040
SAOUHSC_00229	NC_007795.1	250591	251265	+	675	503	480	487	3801	1601	708
SAOUHSC_00230	NC_007795.1	251527	253266	+	1740	1083	662	840	7404	5245	991
SAOUHSC_00231	NC_007795.1	253269	254009	+	741	70	117	130	975	553	210
SAOUHSC_00232	NC_007795.1	254122	254565	+	444	177	119	193	2320	339	126
SAOUHSC_00233	NC_007795.1	254558	255259	+	702	1696	531	975	4927	1055	855
SAOUHSC_00234	NC_007795.1	255367	256071	-	705	64	913	1042	994	790	1348
SAOUHSC_00235	NC_007795.1	256220	257011	+	792	17	354	367	244	122	633
SAOUHSC_00236	NC_007795.1	257027	258463	+	1437	102	651	735	322	209	1028
SAOUHSC_00237	NC_007795.1	258896	259657	-	762	18	86	117	181	134	169
SAOUHSC_00238	NC_007795.1	259676	259810	+	135	2	28	15	14	12	38
SAOUHSC_00239	NC_007795.1	259908	260822	-	915	941	1237	2223	3587	1819	2470
SAOUHSC_00240	NC_007795.1	260850	261254	-	405	129	541	913	1676	708	976
SAOUHSC_00241	NC_007795.1	261269	262150	-	882	848	999	1780	1744	1413	1986
SAOUHSC_00242	NC_007795.1	262382	263380	-	999	554	589	811	2152	1757	889
SAOUHSC_00243	NC_007795.1	263531	263710	+	180	0	152	70	43	65	216
SAOUHSC_00244	NC_007795.1	263760	264152	+	393	16	867	555	409	310	946
SAOUHSC_00246	NC_007795.1	264825	266201	-	1377	137	1387	2206	1257	1543	2559
SAOUHSC_00247	NC_007795.1	266435	267427	+	993	122	520	602	745	481	801
SAOUHSC_00248	NC_007795.1	267753	268703	+	951	747	1230	1530	1644	1142	1714
SAOUHSC_00249	NC_007795.1	268755	269414	-	660	24	316	293	312	271	473
SAOUHSC_00250	NC_007795.1	269428	270348	-	921	14	274	223	288	223	374
SAOUHSC_00251	NC_007795.1	270345	271511	-	1167	7	99	85	122	123	139
SAOUHSC_00253	NC_007795.1	271579	273102	-	1524	32	1497	1071	663	645	1877
SAOUHSC_00254	NC_007795.1	273373	274026	+	654	3	71	60	57	79	86
SAOUHSC_00255	NC_007795.1	274060	274647	+	588	22	332	239	196	178	458
SAOUHSC_00256	NC_007795.1	274790	275683	-	894	412	1293	1258	1199	976	1748
SAOUHSC_00257	NC_007795.1	275931	276224	+	294	1722	2590	3753	2991	2299	4044
SAOUHSC_00258	NC_007795.1	276308	279337	+	3030	83	2586	2725	1065	1000	3565
SAOUHSC_00259	NC_007795.1	279337	279795	+	459	7	504	370	113	132	641
SAOUHSC_00260	NC_007795.1	279728	280009	+	282	0	11	12	7	6	12
SAOUHSC_00261	NC_007795.1	280022	281356	+	1335	5	135	115	124	101	213
SAOUHSC_00262	NC_007795.1	281378	285817	+	4440	116	922	835	727	716	1386
SAOUHSC_00264	NC_007795.1	285847	286239	+	393	11	71	57	79	68	104
SAOUHSC_00265	NC_007795.1	286255	286569	+	315	55	66	82	68	88	128
SAOUHSC_00266	NC_007795.1	286569	287243	+	675	16	133	110	131	104	206
SAOUHSC_00267	NC_007795.1	287243	287560	+	318	21	61	65	70	60	91
SAOUHSC_00268	NC_007795.1	287570	289414	+	1845	1448	1502	1656	4226	2878	2167
SAOUHSC_00269	NC_007795.1	289425	289916	+	492	502	1000	933	5183	3371	1397
SAOUHSC_00270	NC_007795.1	290124	290807	+	684	50	133	109	452	294	174
SAOUHSC_00271	NC_007795.1	290954	291565	+	612	29	54	67	353	208	126
SAOUHSC_00272	NC_007795.1	291701	291919	+	219	21	876	607	272	471	1332
SAOUHSC_00274	NC_007795.1	292051	292551	+	501	19	59	56	118	87	106
SAOUHSC_00275	NC_007795.1	292562	293062	+	501	32	113	112	300	175	136
SAOUHSC_00276	NC_007795.1	293073	293573	+	501	18	89	112	339	153	126
SAOUHSC_00277	NC_007795.1	293584	294084	+	501	40	78	99	293	139	114
SAOUHSC_00278	NC_007795.1	294095	294583	+	489	24	76	60	194	128	148
SAOUHSC_00279	NC_007795.1	295206	295580	+	375	52	1620	1266	772	606	1926
SAOUHSC_00280	NC_007795.1	295733	296131	+	399	199	2079	1569	1029	882	2646
SAOUHSC_00281	NC_007795.1	296347	297171	-	825	925	505	508	5209	2540	661
SAOUHSC_00282	NC_007795.1	297408	298685	-	1278	1710	4084	6250	13473	12459	9524
SAOUHSC_00284	NC_007795.1	299299	300189	+	891	41	353	303	421	342	550
SAOUHSC_00285	NC_007795.1	300438	301487	+	1050	1280	3082	4636	10580	7478	3841
SAOUHSC_00287	NC_007795.1	301500	302177	+	678	2826	2841	4050	10358	6996	3842
SAOUHSC_00289	NC_007795.1	302336	302476	-	141	0	8	11	1	2	11
SAOUHSC_00290	NC_007795.1	302466	303416	+	951	1206	3358	3303	6278	4010	4398
SAOUHSC_00291	NC_007795.1	303759	304877	+	1119	100	108	179	1067	427	217
SAOUHSC_00292	NC_007795.1	304852	305775	+	924	231	249	317	1270	541	401
SAOUHSC_00293	NC_007795.1	305786	307006	+	1221	150	495	544	1207	749	897
SAOUHSC_00294	NC_007795.1	307111	308643	-	1533	206	2413	3753	1196	1731	3641
SAOUHSC_00295	NC_007795.1	308683	309564	-	882	192	1336	2314	1113	1538	1839
SAOUHSC_00296	NC_007795.1	309722	310582	+	861	517	837	1062	1773	1041	1155
SAOUHSC_00297	NC_007795.1	310860	311660	-	801	682	678	952	3415	2292	1295
SAOUHSC_00298	NC_007795.1	311800	312468	+	669	276	1774	2282	1240	1039	2638
SAOUHSC_00299	NC_007795.1	312595	313908	-	1314	59	286	302	859	423	469
SAOUHSC_00300	NC_007795.1	314326	316398	+	2073	23472	51281	61902	60164	44259	71571
SAOUHSC_00301	NC_007795.1	316640	317467	-	828	307	887	912	1783	1492	1376
SAOUHSC_00302	NC_007795.1	317540	318739	-	1200	272	601	508	1462	1086	876
SAOUHSC_00303	NC_007795.1	318835	318927	+	93	5	31	24	68	38	45
SAOUHSC_00304	NC_007795.1	319041	320042	+	1002	110	222	292	520	420	447
SAOUHSC_00305	NC_007795.1	320076	320408	+	333	39	126	151	265	156	215
SAOUHSC_00306	NC_007795.1	320409	321209	+	801	76	254	354	406	362	465
SAOUHSC_00307	NC_007795.1	321199	322143	+	945	135	284	401	533	387	584
SAOUHSC_00308	NC_007795.1	322121	323143	+	1023	170	429	504	747	447	758
SAOUHSC_00309	NC_007795.1	323458	324483	+	1026	3309	2075	3242	8932	8270	3325
SAOUHSC_00310	NC_007795.1	324576	325922	-	1347	320	1571	2807	1471	2075	2257
SAOUHSC_00311	NC_007795.1	325937	326221	-	285	108	254	499	266	425	316
SAOUHSC_00312	NC_007795.1	326223	326666	-	444	87	378	833	404	736	566
SAOUHSC_00313	NC_007795.1	326671	328626	-	1956	521	1478	2976	2324	5669	1934
SAOUHSC_00314	NC_007795.1	328838	329257	+	420	513	5896	8069	5000	4275	10068
SAOUHSC_00315	NC_007795.1	329364	330719	+	1356	45	3108	4438	575	580	5410
SAOUHSC_00316	NC_007795.1	330823	331263	+	441	29	1375	1510	401	350	2112
SAOUHSC_00317	NC_007795.1	331346	332704	-	1359	1856	2641	3142	9079	4054	4184
SAOUHSC_00318	NC_007795.1	333012	333938	+	927	585	750	844	2476	1305	839
SAOUHSC_00319	NC_007795.1	333952	335013	+	1062	1459	2042	1981	4356	2489	2488
SAOUHSC_00320	NC_007795.1	335027	335593	+	567	308	1205	1237	2022	1265	1649
SAOUHSC_00322	NC_007795.1	335653	336648	-	996	114	182	227	596	691	307
SAOUHSC_00323	NC_007795.1	336647	337054	+	408	47	81	66	70	66	114
SAOUHSC_00324	NC_007795.1	337067	337612	+	546	1211	340	421	7529	2937	557
SAOUHSC_00325	NC_007795.1	337880	338734	+	855	29	167	154	584	232	284
